article_id,product_code,prod_name,product_type_name,detail_desc
0108775015,0108775,Strap top,Vest top,Jersey top with narrow shoulder straps.
0108775044,0108775,Strap top,Vest top,Jersey top with narrow shoulder straps.
0108775051,0108775,Strap top (1),Vest top,Jersey top with narrow shoulder straps.
0110065001,0110065,OP T-shirt (Idro),Bra,"Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
0110065002,0110065,OP T-shirt (Idro),Bra,"Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
0110065011,0110065,OP T-shirt (Idro),Bra,"Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
0111565001,0111565,20 den 1p Stockings,Underwear Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
0111565003,0111565,20 den 1p Stockings,Socks,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
0111586001,0111586,Shape Up 30 den 1p Tights,Leggings/Tights,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.
0111593001,0111593,Support 40 den 1p Tights,Underwear Tights,"Semi shiny tights that shape the tummy, thighs and calves while also encouraging blood circulation in the legs. Elasticated waist."
0111609001,0111609,200 den 1p Tights,Underwear Tights,Opaque matt tights. 200 denier.
0112679048,0112679,SWEATSHIRT  OC,Sweater,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
0112679052,0112679,SWEATSHIRT  OC,Sweater,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
0114428026,0114428,Alice BANDEAU 2-p,Bra,Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
0114428030,0114428,Alice BANDEAU 2-p,Bra,Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
0116379047,0116379,Frugan longsleeve,Top,Fitted top in soft stretch jersey with a wide neckline and long sleeves.
0118458003,0118458,Jerry jogger bottoms,Trousers,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458004,0118458,Jerry jogger bottoms,Trousers,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458028,0118458,Jerry jogger bottoms,Trousers,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458029,0118458,Jerry jogger bottoms,Trousers,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458034,0118458,Jerry jogger bottoms,Trousers,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458038,0118458,Jerry jogger bottoms,Trousers,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458039,0118458,Jerry jogger bottoms,Trousers,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0120129001,0120129,Babette long,Leggings/Tights,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
0120129014,0120129,Babette long,Leggings/Tights,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
0120129018,0120129,Babette long,Leggings/Tights,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
0120129025,0120129,Babette long,Leggings/Tights,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
0123173001,0123173,Control Top 50 den 1p Tights,Leggings/Tights,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.
0126589006,0126589,2p Claw,Hair clip,Plastic hair claws. Width 3.5 cm.
0126589007,0126589,2p Claw,Hair clip,Plastic hair claws. Width 3.5 cm.
0126589010,0126589,2p Claw,Hair clip,Plastic hair claws. Width 3.5 cm.
0126589011,0126589,2p Claw,Hair clip,Plastic hair claws. Width 3.5 cm.
0126589012,0126589,2p Claw,Hair clip,Plastic hair claws. Width 3.5 cm.
0129085001,0129085,Pirate Leggings (1),Leggings/Tights,3/4-length leggings in stretch jersey with an elasticated waist.
0129085026,0129085,Pirate Leggings (1),Leggings/Tights,3/4-length leggings in stretch jersey with an elasticated waist.
0129085027,0129085,Pirate Leggings (1),Leggings/Tights,3/4-length leggings in stretch jersey with an elasticated waist.
0130035001,0130035,Black Umbrella,Umbrella,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
